company,name-origin,ref,review,cacao,location,rating,bean,bean-origin,pur,res
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&4.0&France
A. Morin,Bolivia,797,2012,70%,France,3.5, ,Bolivia,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&3.75&France
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,INTERMEDIO,Acalli&INTERMEDIO&3.75&U.S.A.
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,INTERMEDIO,Acalli&INTERMEDIO&3.75&U.S.A.
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,INTERMEDIO,Adi&INTERMEDIO&2.75&Fiji
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,ALTO,Adi&ALTO&3.25&Fiji
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji,ALTO,Adi&ALTO&3.5&Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji,INTERMEDIO,Adi&INTERMEDIO&3.5&Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,BAJO,Aequare (Gianduja)&BAJO&2.75&Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador,INTERMEDIO,Aequare (Gianduja)&INTERMEDIO&3.0&Ecuador
Ah Cacao,Tabasco,316,2009,70%,Mexico,3.0,Criollo,Mexico,INTERMEDIO,Ah Cacao&INTERMEDIO&3.0&Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,INTERMEDIO,Akesson's (Pralus)&INTERMEDIO&3.75&Switzerland
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,INTERMEDIO,Akesson's (Pralus)&INTERMEDIO&2.75&Switzerland
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,INTERMEDIO,Akesson's (Pralus)&INTERMEDIO&2.75&Switzerland
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad,INTERMEDIO,Alain Ducasse&INTERMEDIO&2.75&France
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam,INTERMEDIO,Alain Ducasse&INTERMEDIO&2.75&France
Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Trinitario,Madagascar,INTERMEDIO,Alain Ducasse&INTERMEDIO&3.0&France
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela,INTERMEDIO,Alain Ducasse&INTERMEDIO&2.5&France
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5, ,Peru,INTERMEDIO,Alain Ducasse&INTERMEDIO&2.5&France
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador,INTERMEDIO,Alexandre&INTERMEDIO&3.5&Netherlands
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,INTERMEDIO,Alexandre&INTERMEDIO&3.5&Netherlands
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam,INTERMEDIO,Alexandre&INTERMEDIO&3.5&Netherlands
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania,INTERMEDIO,Alexandre&INTERMEDIO&3.5&Netherlands
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&2.75&U.S.A.
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.0, ,Peru,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&3.0&U.S.A.
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5, ,Bolivia,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&2.5&U.S.A.
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5, ,Peru,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&2.5&U.S.A.
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&2.75&U.S.A.
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5, ,Venezuela,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&2.5&U.S.A.
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.0,Trinitario,Dominican Republic,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&3.0&U.S.A.
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia,ALTO,Altus aka Cao Artisan&ALTO&3.25&U.S.A.
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.0, ,Bolivia,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&3.0&U.S.A.
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru,INTERMEDIO,Altus aka Cao Artisan&INTERMEDIO&3.25&U.S.A.
Amano,Morobe,725,2011,70%,U.S.A.,4.0, ,Papua New Guinea,INTERMEDIO,Amano&INTERMEDIO&4.0&U.S.A.
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,INTERMEDIO,Amano&INTERMEDIO&3.75&U.S.A.
Amano,Guayas,470,2010,70%,U.S.A.,4.0, ,Ecuador,INTERMEDIO,Amano&INTERMEDIO&4.0&U.S.A.
Amano,Chuao,544,2010,70%,U.S.A.,3.0,Trinitario,Venezuela,INTERMEDIO,Amano&INTERMEDIO&3.0&U.S.A.
Amano,Montanya,363,2009,70%,U.S.A.,3.0, ,Venezuela,INTERMEDIO,Amano&INTERMEDIO&3.0&U.S.A.
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia,INTERMEDIO,Amano&INTERMEDIO&2.75&U.S.A.
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar,INTERMEDIO,Amano&INTERMEDIO&3.5&U.S.A.
Amano,Cuyagua,147,2007,70%,U.S.A.,3.0, ,Venezuela,INTERMEDIO,Amano&INTERMEDIO&3.0&U.S.A.
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,INTERMEDIO,Amano&INTERMEDIO&3.75&U.S.A.
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3.0,Forastero,Ghana,INTERMEDIO,Amatller (Simon Coll)&INTERMEDIO&3.0&Spain
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador,INTERMEDIO,Amatller (Simon Coll)&INTERMEDIO&2.75&Spain
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador,ALTO,Amatller (Simon Coll)&ALTO&2.75&Spain
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.0,Forastero,Ghana,ALTO,Amatller (Simon Coll)&ALTO&3.0&Spain
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru,INTERMEDIO,Amazona&INTERMEDIO&3.25&Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru,INTERMEDIO,Amazona&INTERMEDIO&3.5&Peru
Ambrosia,Belize,1494,2015,64%,Canada,3.0,Trinitario,Belize,INTERMEDIO,Ambrosia&INTERMEDIO&3.0&Canada
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,INTERMEDIO,Ambrosia&INTERMEDIO&3.25&Canada
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic,INTERMEDIO,Ambrosia&INTERMEDIO&3.25&Canada
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea,INTERMEDIO,Ambrosia&INTERMEDIO&3.25&Canada
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25, ,Venezuela,INTERMEDIO,Ambrosia&INTERMEDIO&3.25&Canada
Ambrosia,Peru,1498,2015,68%,Canada,3.5, ,Peru,INTERMEDIO,Ambrosia&INTERMEDIO&3.5&Canada
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,INTERMEDIO,Amedei&INTERMEDIO&3.75&Italy
Amedei,Porcelana,111,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela,INTERMEDIO,Amedei&INTERMEDIO&4.0&Italy
Amedei,Nine,111,2007,75%,Italy,4.0,Blend, ,INTERMEDIO,Amedei&INTERMEDIO&4.0&Italy
Amedei,Chuao,111,2007,70%,Italy,5.0,Trinitario,Venezuela,INTERMEDIO,Amedei&INTERMEDIO&5.0&Italy
Amedei,Ecuador,123,2007,70%,Italy,3.0,Trinitario,Ecuador,INTERMEDIO,Amedei&INTERMEDIO&3.0&Italy
Amedei,Jamaica,123,2007,70%,Italy,3.0,Trinitario,Jamaica,INTERMEDIO,Amedei&INTERMEDIO&3.0&Italy
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada,INTERMEDIO,Amedei&INTERMEDIO&3.5&Italy
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela,INTERMEDIO,Amedei&INTERMEDIO&3.75&Italy
Amedei,Madagascar,123,2007,70%,Italy,4.0,Trinitario (85% Criollo),Madagascar,INTERMEDIO,Amedei&INTERMEDIO&4.0&Italy
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad,INTERMEDIO,Amedei&INTERMEDIO&3.5&Italy
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, ,INTERMEDIO,Amedei&INTERMEDIO&3.5&Italy
Amedei,Toscano Black,40,2006,70%,Italy,5.0,Blend, ,INTERMEDIO,Amedei&INTERMEDIO&5.0&Italy
Amedei,Toscano Black,75,2006,66%,Italy,4.0,Blend, ,INTERMEDIO,Amedei&INTERMEDIO&4.0&Italy
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil,INTERMEDIO,AMMA&INTERMEDIO&3.25&Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil,ALTO,AMMA&ALTO&2.75&Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,BAJO,AMMA&BAJO&3.75&Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,INTERMEDIO,AMMA&INTERMEDIO&3.75&Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil,INTERMEDIO,AMMA&INTERMEDIO&4.0&Brazil
Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0, ,Dominican Republic,INTERMEDIO,Anahata&INTERMEDIO&3.0&U.S.A.
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5, ,Bolivia,INTERMEDIO,Animas&INTERMEDIO&3.5&U.S.A.
Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar,INTERMEDIO,Ara&INTERMEDIO&3.0&France
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico,INTERMEDIO,Ara&INTERMEDIO&2.5&France
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador,INTERMEDIO,Ara&INTERMEDIO&2.75&France
Ara,Trincheras,1379,2014,75%,France,3.0, ,Venezuela,INTERMEDIO,Ara&INTERMEDIO&3.0&France
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania,INTERMEDIO,Arete&INTERMEDIO&3.75&U.S.A.
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador,INTERMEDIO,Arete&INTERMEDIO&3.25&U.S.A.
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador,INTERMEDIO,Arete&INTERMEDIO&3.25&U.S.A.
Arete,Lachua,1904,2016,70%,U.S.A.,3.5, ,Guatemala,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,INTERMEDIO,Arete&INTERMEDIO&3.75&U.S.A.
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5, ,Honduras,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.0, ,Costa Rica,INTERMEDIO,Arete&INTERMEDIO&4.0&U.S.A.
Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru,INTERMEDIO,Arete&INTERMEDIO&4.0&U.S.A.
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,INTERMEDIO,Arete&INTERMEDIO&3.75&U.S.A.
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji,INTERMEDIO,Arete&INTERMEDIO&3.25&U.S.A.
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam,INTERMEDIO,Arete&INTERMEDIO&3.25&U.S.A.
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5, ,Brazil,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,INTERMEDIO,Arete&INTERMEDIO&3.75&U.S.A.
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,INTERMEDIO,Arete&INTERMEDIO&3.75&U.S.A.
Arete,Chuno,1598,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,INTERMEDIO,Arete&INTERMEDIO&4.0&U.S.A.
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil,INTERMEDIO,Arete&INTERMEDIO&2.75&U.S.A.
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala,INTERMEDIO,Arete&INTERMEDIO&3.25&U.S.A.
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5, ,Ecuador,INTERMEDIO,Arete&INTERMEDIO&3.5&U.S.A.
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.25&U.K.
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.75&U.K.
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0, ,Haiti,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&4.0&U.K.
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&2.75&U.K.
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75, ,Venezuela,PURO,Artisan du Chocolat&PURO&1.75&U.K.
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.75&U.K.
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.25&U.K.
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.25&U.K.
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.5&U.K.
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&2.5&U.K.
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&2.75&U.K.
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&1.75&U.K.
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar,ALTO,Artisan du Chocolat&ALTO&3.0&U.K.
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.0&U.K.
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.25&U.K.
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,INTERMEDIO,Artisan du Chocolat&INTERMEDIO&3.75&U.K.
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,INTERMEDIO,Artisan du Chocolat (Casa Luker)&INTERMEDIO&2.75&U.K.
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,INTERMEDIO,Askinosie&INTERMEDIO&3.75&U.S.A.
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,INTERMEDIO,Askinosie&INTERMEDIO&3.75&U.S.A.
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,INTERMEDIO,Askinosie&INTERMEDIO&3.75&U.S.A.
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,INTERMEDIO,Askinosie&INTERMEDIO&3.75&U.S.A.
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico,INTERMEDIO,Askinosie&INTERMEDIO&2.5&U.S.A.
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador,INTERMEDIO,Askinosie&INTERMEDIO&3.0&U.S.A.
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , ,ALTO,Bahen & Co.&ALTO&3.25&Australia
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5, ,Papua New Guinea,INTERMEDIO,Bahen & Co.&INTERMEDIO&3.5&Australia
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar,INTERMEDIO,Bahen & Co.&INTERMEDIO&3.0&Australia
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil,INTERMEDIO,Bahen & Co.&INTERMEDIO&2.5&Australia
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, ,INTERMEDIO,Bahen & Co.&INTERMEDIO&2.5&Australia
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru,INTERMEDIO,Bakau&INTERMEDIO&2.75&Peru
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru,INTERMEDIO,Bakau&INTERMEDIO&3.5&Peru
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5, ,Brazil,INTERMEDIO,Bar Au Chocolat&INTERMEDIO&3.5&U.S.A.
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Forastero (Nacional),Peru,INTERMEDIO,Bar Au Chocolat&INTERMEDIO&4.0&U.S.A.
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic,INTERMEDIO,Bar Au Chocolat&INTERMEDIO&3.25&U.S.A.
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5, ,Mexico,INTERMEDIO,Bar Au Chocolat&INTERMEDIO&3.5&U.S.A.
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,INTERMEDIO,Bar Au Chocolat&INTERMEDIO&3.75&U.S.A.
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica,ALTO,Baravelli's&ALTO&2.75&Wales
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic,INTERMEDIO,Batch&INTERMEDIO&3.5&U.S.A.
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,INTERMEDIO,Batch&INTERMEDIO&3.75&U.S.A.
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador,INTERMEDIO,Batch&INTERMEDIO&3.25&U.S.A.
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0, ,Malaysia,INTERMEDIO,Beau Cacao&INTERMEDIO&3.0&U.K.
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia,INTERMEDIO,Beau Cacao&INTERMEDIO&3.25&U.K.
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil,ALTO,Beehive&ALTO&2.75&U.S.A.
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic,INTERMEDIO,Beehive&INTERMEDIO&2.75&U.S.A.
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador,INTERMEDIO,Beehive&INTERMEDIO&2.75&U.S.A.
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75, ,Ecuador,ALTO,Beehive&ALTO&2.75&U.S.A.
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica,INTERMEDIO,Belcolade&INTERMEDIO&2.75&Belgium
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea,INTERMEDIO,Belcolade&INTERMEDIO&2.75&Belgium
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru,INTERMEDIO,Belcolade&INTERMEDIO&2.75&Belgium
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador,INTERMEDIO,Belcolade&INTERMEDIO&3.5&Belgium
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,INTERMEDIO,Bellflower&INTERMEDIO&3.5&U.S.A.
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia,INTERMEDIO,Bellflower&INTERMEDIO&3.25&U.S.A.
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5, ,Domincan Republic,INTERMEDIO,Bellflower&INTERMEDIO&3.5&U.S.A.
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,ALTO,Belyzium&ALTO&2.75&Germany
Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize,INTERMEDIO,Belyzium&INTERMEDIO&3.0&Germany
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize,ALTO,Belyzium&ALTO&3.5&Germany
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba,INTERMEDIO,Benoit Nihant&INTERMEDIO&3.5&Belgium
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,INTERMEDIO,Benoit Nihant&INTERMEDIO&3.5&Belgium
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,INTERMEDIO,Benoit Nihant&INTERMEDIO&3.5&Belgium
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador,INTERMEDIO,Benoit Nihant&INTERMEDIO&4.0&Belgium
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Trinitario,Indonesia,INTERMEDIO,Benoit Nihant&INTERMEDIO&4.0&Belgium
